codigo,nombre,stock_disponible,stock,tipo,nivel_uso,categoria
11738,"PISTOLAS DE CALOR ,N°3",1,1,Fijos,1,Otros / específico
11739,"PISTOLAS DE CALOR ,N°4",1,1,Fijos,1,Otros / específico
11740,"PISTOLAS DE CALOR ,N°5",1,1,Fijos,1,Otros / específico
11741,"PISTOLAS DE CALOR ,N°6",1,1,Fijos,1,Otros / específico
11645,PLC Mitsubishi N°1,1,1,Fijos,1,Otros / específico
11646,PLC Mitsubishi N°2,1,1,Fijos,1,Otros / específico
11640,"PLC SIEMENS 1212C AC/DC/RLY,N°1",1,1,Fijos,1,Otros / específico
11641,"PLC SIEMENS 1212C AC/DC/RLY,N°2",1,1,Fijos,1,Otros / específico
11864,"PLC SIEMENS 1212C AC/DC/RLY,N°2",1,1,Fijos,1,Otros / específico
11630,"PLC SIEMENS 1214 AC/DC/RLY,N°1",1,1,Fijos,1,Otros / específico
11631,"PLC SIEMENS 1214 AC/DC/RLY,N°2",1,1,Fijos,1,Otros / específico
11632,"PLC SIEMENS 1214 AC/DC/RLY,N°3",1,1,Fijos,1,Otros / específico
11633,"PLC SIEMENS 1214 AC/DC/RLY,N°4",1,1,Fijos,1,Otros / específico
11634,"PLC SIEMENS 1214 AC/DC/RLY,N°5",1,1,Fijos,1,Otros / específico
11635,"PLC SIEMENS 1214 AC/DC/RLY,N°6",1,1,Fijos,1,Otros / específico
11636,"PLC SIEMENS 1214 AC/DC/RLY,N°7",1,1,Fijos,1,Otros / específico
11625,"PLC SIEMENS 1215 AC/DC/RLY,N°1",1,1,Fijos,1,Otros / específico
11626,"PLC SIEMENS 1215 AC/DC/RLY,N°2",1,1,Fijos,1,Otros / específico
11627,"PLC SIEMENS 1215 AC/DC/RLY,N°3",1,1,Fijos,1,Otros / específico
11628,"PLC SIEMENS 1215 AC/DC/RLY,N°4",1,1,Fijos,1,Otros / específico
11629,"PLC SIEMENS 1215 AC/DC/RLY,N°5",1,1,Fijos,1,Otros / específico
11639,PLC SIEMENS S7-1500,1,1,Fijos,1,Otros / específico
11638,PLC SIEMENS S7-300,1,1,Fijos,1,Otros / específico
12070,POWER METER MEDIDOR DE POTENCIA,1,1,Fijos,1,Otros / específico
11642,"POZO DE HORNO SECO ,N°1",1,1,Fijos,1,Otros / específico
11643,"POZO DE HORNO SECO ,N°2",1,1,Fijos,1,Otros / específico
11644,"POZO DE HORNO SECO ,N°3",1,1,Fijos,1,Otros / específico
11770,"PRENSA EN G,N°1",6,6,Consumibles,1,Otros / específico
12068,PROBADOR DE CABLE DE RED,1,1,Fijos,1,Otros / específico
12361,PROTOBAR,0,0,Fijos,1,Otros / específico
11647,"PT-100,N°1",9,9,Consumibles,1,Otros / específico
11812,PUENTE DE KELVIN,1,1,Fijos,1,Otros / específico
12117,PURGADOR DE FRENOS  N°1,1,1,Fijos,1,Otros / específico
12118,PURGADOR DE FRENOS  N°2,1,1,Fijos,1,Otros / específico
11947,Panel solar de 0.5w N°1,1,1,Fijos,1,Otros / específico
11956,Panel solar de 0.5w N°10,1,1,Fijos,1,Otros / específico
12033,Panel solar de 0.5w N°11,1,1,Fijos,1,Otros / específico
11948,Panel solar de 0.5w N°2,1,1,Fijos,1,Otros / específico
11949,Panel solar de 0.5w N°3,1,1,Fijos,1,Otros / específico
11950,Panel solar de 0.5w N°4,1,1,Fijos,1,Otros / específico
11951,Panel solar de 0.5w N°5,1,1,Fijos,1,Otros / específico
11952,Panel solar de 0.5w N°6,1,1,Fijos,1,Otros / específico
11953,Panel solar de 0.5w N°7,1,1,Fijos,1,Otros / específico
11954,Panel solar de 0.5w N°8,1,1,Fijos,1,Otros / específico
11955,Panel solar de 0.5w N°9,1,1,Fijos,1,Otros / específico
11921,Panel solar de 20w N°10,1,1,Fijos,1,Otros / específico
11922,Panel solar de 20w N°11,1,1,Fijos,1,Otros / específico
11923,Panel solar de 20w N°12,1,1,Fijos,1,Otros / específico
11924,Panel solar de 20w N°13,1,1,Fijos,1,Otros / específico
11925,Panel solar de 20w N°14,1,1,Fijos,1,Otros / específico
11926,Panel solar de 20w N°15,1,1,Fijos,1,Otros / específico
11927,Panel solar de 20w N°16,1,1,Fijos,1,Otros / específico
11928,Panel solar de 20w N°17,1,1,Fijos,1,Otros / específico
11929,Panel solar de 20w N°18,1,1,Fijos,1,Otros / específico
11913,Panel solar de 20w N°2,1,1,Fijos,1,Otros / específico
11914,Panel solar de 20w N°3,1,1,Fijos,1,Otros / específico
11915,Panel solar de 20w N°4,1,1,Fijos,1,Otros / específico
11916,Panel solar de 20w N°5,1,1,Fijos,1,Otros / específico
11917,Panel solar de 20w N°6,1,1,Fijos,1,Otros / específico
11918,Panel solar de 20w N°7,1,1,Fijos,1,Otros / específico
11919,Panel solar de 20w N°8,1,1,Fijos,1,Otros / específico
11920,Panel solar de 20w N°9,1,1,Fijos,1,Otros / específico
11946,Panel solar de 3w,1,1,Fijos,1,Otros / específico
12312,Pantalla LCD,10,10,Fijos,1,Otros / específico
10768,"Picoloro,N°1",0,0,Consumibles,1,Otros / específico
10777,"Picoloro,N°10",0,0,Consumibles,1,Otros / específico
10778,"Picoloro,N°11",0,0,Consumibles,1,Otros / específico
10779,"Picoloro,N°12",0,0,Consumibles,1,Otros / específico
10780,"Picoloro,N°13",0,0,Consumibles,1,Otros / específico
10781,"Picoloro,N°14",0,0,Consumibles,1,Otros / específico
10782,"Picoloro,N°15",0,0,Consumibles,1,Otros / específico
10783,"Picoloro,N°16",0,0,Consumibles,1,Otros / específico
10784,"Picoloro,N°17",0,0,Consumibles,1,Otros / específico
10785,"Picoloro,N°18",0,0,Consumibles,1,Otros / específico
10786,"Picoloro,N°19",0,0,Consumibles,1,Otros / específico
10769,"Picoloro,N°2",0,0,Consumibles,1,Otros / específico
10787,"Picoloro,N°20",0,0,Consumibles,1,Otros / específico
10788,"Picoloro,N°21",0,0,Consumibles,1,Otros / específico
10789,"Picoloro,N°22",0,0,Consumibles,1,Otros / específico
10790,"Picoloro,N°23",0,0,Consumibles,1,Otros / específico
10791,"Picoloro,N°24",0,0,Consumibles,1,Otros / específico
10792,"Picoloro,N°25",0,0,Consumibles,1,Otros / específico
10793,"Picoloro,N°26",0,0,Consumibles,1,Otros / específico
10794,"Picoloro,N°27",0,0,Consumibles,1,Otros / específico
10770,"Picoloro,N°3",0,0,Consumibles,1,Otros / específico
10771,"Picoloro,N°4",0,0,Consumibles,1,Otros / específico
10772,"Picoloro,N°5",0,0,Consumibles,1,Otros / específico
10773,"Picoloro,N°6",0,0,Consumibles,1,Otros / específico
10774,"Picoloro,N°7",0,0,Consumibles,1,Otros / específico
10775,"Picoloro,N°8",0,0,Consumibles,1,Otros / específico
10776,"Picoloro,N°9",0,0,Consumibles,1,Otros / específico
10988,Pistola electrodoscopio,1,1,Fijos,1,Otros / específico
10718,"Pistolas de impacto,N°1",0,0,Consumibles,1,Otros / específico
10719,"Pistolas de impacto,N°2",0,0,Consumibles,1,Otros / específico
10720,"Pistolas de impacto,N°3",0,0,Consumibles,1,Otros / específico
10721,"Pistolas de impacto,N°4",0,0,Consumibles,1,Otros / específico
10722,"Pistolas de impacto,N°5",0,0,Consumibles,1,Otros / específico
10723,"Pistolas de impacto,N°6",0,0,Consumibles,1,Otros / específico
10724,"Pistolas de impacto,N°7",0,0,Consumibles,1,Otros / específico
10725,"Pistolas de impacto,N°8",0,0,Consumibles,1,Otros / específico
10873,Plasticage (caja),10,10,Consumibles,1,Otros / específico
10675,"Prisma de cigüeñal,N°1",0,0,Consumible,1,Otros / específico
10676,"Prisma de cigüeñal,N°2",0,0,Consumible,1,Otros / específico
10677,"Prisma de cigüeñal,N°3",0,0,Consumible,1,Otros / específico
10678,"Prisma de cigüeñal,N°4",0,0,Consumible,1,Otros / específico
10679,"Prisma de cigüeñal,N°5",0,0,Consumible,1,Otros / específico
10680,"Prisma de cigüeñal,N°6",0,0,Consumible,1,Otros / específico
10681,"Prisma de cigüeñal,N°7",0,0,Consumible,1,Otros / específico
10682,"Prisma eje de levas , N°1",0,0,Consumible,1,Otros / específico
10683,"Prisma eje de levas , N°2",0,0,Consumible,1,Otros / específico
10726,"Probador de precion de aceite oem tools,N°1",1,1,Fijos,1,Otros / específico
10735,"Probador de precion de aceite oem tools,N°10",1,1,Fijos,1,Otros / específico
10727,"Probador de precion de aceite oem tools,N°2",1,1,Fijos,1,Otros / específico
10728,"Probador de precion de aceite oem tools,N°3",1,1,Fijos,1,Otros / específico
10729,"Probador de precion de aceite oem tools,N°4",1,1,Fijos,1,Otros / específico
10730,"Probador de precion de aceite oem tools,N°5",1,1,Fijos,1,Otros / específico
10731,"Probador de precion de aceite oem tools,N°6",1,1,Fijos,1,Otros / específico
10732,"Probador de precion de aceite oem tools,N°7",1,1,Fijos,1,Otros / específico
10733,"Probador de precion de aceite oem tools,N°8",1,1,Fijos,1,Otros / específico
10734,"Probador de precion de aceite oem tools,N°9",1,1,Fijos,1,Otros / específico
12348,"Proyector \""data\"" 12",1,1,Fijos,1,Otros / específico
12346,"Proyector \""data\"" 35",1,1,Fijos,1,Otros / específico
12345,"Proyector \""data\"" 55",1,1,Fijos,1,Otros / específico
12344,"Proyector \""data\"" 6",1,1,Fijos,1,Otros / específico
12347,"Proyector \""data\"" 67",1,1,Fijos,1,Otros / específico
12343,"Proyector \""data\"" 8",1,1,Fijos,1,Otros / específico
11513,"RELE DE ESTADO SOLIDO ,N°1",16,16,Consumibles,1,Otros / específico
11326,"RELES DE 9 PINES \""24VDC\""",22,22,Consumibles,1,Otros / específico
12360,RESISTENCIAS VARIAS,0,0,Fijos,1,Otros / específico
10619,Regleta punta estrella,1,1,Fijos,1,Otros / específico
10199,Regulador flujometro argon n°1,1,1,Fijos,1,Otros / específico
10200,Regulador flujometro argon n°2,1,1,Fijos,1,Otros / específico
10201,Regulador flujometro argon n°3,1,1,Fijos,1,Otros / específico
12375,SENSORES DE TEMPERATURA,0,0,Fijos,1,Otros / específico
11398,SET DE INTERUPTORES,17,17,Consumibles,1,Otros / específico
12367,SET DE PERILLEROS,0,0,Fijos,1,Otros / específico
11742,"SET DE TERRAJAS,N°1",1,1,Fijos,1,Otros / específico
11743,"SET DE TERRAJAS,N°2",1,1,Fijos,1,Otros / específico
11744,"SET DE TERRAJAS,N°3",1,1,Fijos,1,Otros / específico
10692,"Set compresor de valvula ,N°1",1,1,Fijos,1,Otros / específico
10693,"Set compresor de valvula ,N°2",1,1,Fijos,1,Otros / específico
10694,"Set compresor de valvula ,N°3",1,1,Fijos,1,Otros / específico
10695,"Set compresor de valvula ,N°4",1,1,Fijos,1,Otros / específico
10696,"Set compresor de valvula ,N°5",1,1,Fijos,1,Otros / específico
10697,"Set compresor de valvula ,N°6",1,1,Fijos,1,Otros / específico
10989,"Simulador de sensores digitales ,N°1",1,1,Fijos,1,Otros / específico
10990,"Simulador de sensores digitales ,N°2",1,1,Fijos,1,Otros / específico
10991,"Simulador de sensores digitales ,N°3",1,1,Fijos,1,Otros / específico
10992,"Simulador de sensores digitales ,N°4",1,1,Fijos,1,Otros / específico
10993,"Simulador de sensores digitales ,N°5",1,1,Fijos,1,Otros / específico
10994,"Simulador de sensores digitales ,N°6",1,1,Fijos,1,Otros / específico
12107,Simulador de sensores digitales EXXOTEST N°1,1,1,Fijos,1,Otros / específico
12108,Simulador de sensores digitales EXXOTEST N°2,1,1,Fijos,1,Otros / específico
12109,Simulador de sensores digitales EXXOTEST N°3,1,1,Fijos,1,Otros / específico
12110,Simulador de sensores digitales EXXOTEST N°4,1,1,Fijos,1,Otros / específico
10744,Socabados intercambiables,1,1,Fijos,1,Otros / específico
10623,"Socket sensor oxigeno universal ,N°1",1,1,Fijos,1,Otros / específico
10624,"Socket sensor oxigeno universal ,N°2",1,1,Fijos,1,Otros / específico
10625,"Socket sensor oxigeno universal ,N°3",1,1,Fijos,1,Otros / específico
10626,"Socket sensor oxigeno universal ,N°4",1,1,Fijos,1,Otros / específico
11231,Soldadura gasfiteria,6,6,Consumibles,1,Otros / específico
10176,"Soldadura tig , n°1",1,1,Fijos,1,Otros / específico
10177,"Soldadura tig , n°2",1,1,Fijos,1,Otros / específico
10178,"Soldadura tig , n°3",1,1,Fijos,1,Otros / específico
11994,TELUROMETRO N°1,1,1,Fijos,1,Otros / específico
11995,TELUROMETRO N°2,1,1,Fijos,1,Otros / específico
11794,"TELUROMETRO,N°1",1,1,Fijos,1,Otros / específico
11795,"TELUROMETRO,N°2",1,1,Fijos,1,Otros / específico
12365,TENSOR DE CORREAS,0,0,Fijos,1,Otros / específico
11986,TERMOANEMOMETRO N°1,1,1,Fijos,1,Otros / específico
11987,TERMOANEMOMETRO N°2,1,1,Fijos,1,Otros / específico
11988,TERMOANEMOMETRO N°3,1,1,Fijos,1,Otros / específico
11989,TERMOANEMOMETRO N°4,1,1,Fijos,1,Otros / específico
12123,TERMOMETRO DIGITAL,1,1,Fijos,1,Otros / específico
12124,TERMOMETRO DIGITAL,1,1,Fijos,1,Otros / específico
12021,TERMOMETRO DIGITAL ST530 N°1,1,1,Fijos,1,Otros / específico
12022,TERMOMETRO DIGITAL ST530 N°2,1,1,Fijos,1,Otros / específico
11593,TESLA METER,1,1,Fijos,1,Otros / específico
12352,TEST DE FUGAS,1,1,Fijos,1,Otros / específico
12368,TESTER LIQUIDO DE FRENO,0,0,Fijos,1,Diagnóstico eléctrico/electrónico
12015,TESTO 925 N°1,1,1,Fijos,1,Otros / específico
12016,TESTO 925 N°2,1,1,Fijos,1,Otros / específico
12366,TIZADOR,0,0,Fijos,1,Otros / específico
11282,TRANS/CAB P100-PT1000,13,13,Consumibles,1,Otros / específico
12362,TRANSFORMADOR 12V,0,0,Fijos,1,Otros / específico
11564,"TRANSMISOR DE NIVEL HART,N°1",15,15,Consumibles,1,Otros / específico
11579,"TRANSMISOR DE PRESION HART,N°1",4,4,Consumibles,1,Otros / específico
11484,"TRANSMISOR DE VELOCIDAD ,N°1",2,2,Consumibles,1,Otros / específico
12051,Taladro Inalámbrico N°1 (TOTAL),1,1,Fijos,1,Otros / específico
12052,Taladro Inalámbrico N°2 (INCO),1,1,Fijos,1,Otros / específico
12053,Taladro Inalámbrico N°3 (MAKITA),1,1,Fijos,1,Otros / específico
11226,"Taladros , n°1",1,1,Fijos,1,Otros / específico
11227,"Taladros , n°2",1,1,Fijos,1,Otros / específico
11418,Temporizadores,51,51,Consumibles,1,Otros / específico
11224,Termometro digital,1,1,Fijos,1,Otros / específico
